Location,Price,Type of House,Land Area,Bedrooms,Toilets,Total Floors,Main Door Direction,Balcony Direction,Legal Documents,ID,Price_per_m2
"Phường Phú Mỹ, Quận 7",23.49585455924869,Nhà mặt tiền,90.0,4.0,3.0,4.0,Đông Bắc,,Sổ hồng,032d4944-2f16-4c55-a900-5888006579ea,177777777.7777778
"Phường Bình Hưng Hòa A, Quận Bình Tân",22.920490414393743,Nhà mặt tiền,40.0,4.0,3.0,1.0,Bắc,Bắc,Sổ hồng,bfb9a1ca-18a3-4d77-acce-3b04832d79cc,225000000.0
"Xã Tân Hiệp, Huyện Hóc Môn",22.463732011962353,"Nhà hẻm, ngõ",108.5,4.0,3.0,1.0,Nam,,Sổ hồng,3fdab3bc-58eb-464a-9de1-43ea9abf523e,52534562.211981565
"Phường 13, Quận Bình Thạnh",24.529928326738954,Nhà mặt tiền,150.0,4.0,3.0,3.0,,,Sổ hồng,a0441b45-01e4-417d-beba-018b00ea0ccb,300000000.0
"Phường Sơn Kỳ, Quận Tân Phú",23.49585455924869,"Nhà hẻm, ngõ",128.8,4.0,3.0,1.0,Nam,,Sổ hồng,c49dd544-fd38-4f12-8444-5073f120cc33,124223602.48447204
"Phường 5, Quận Phú Nhuận",21.686440155101096,"Nhà hẻm, ngõ",15.0,4.0,3.0,3.0,Tây Nam,Tây Nam,Sổ hồng,00f216f1-6f87-42db-bbc7-251c3c197b42,174666666.66666666
"Phường 15, Quận Tân Bình",22.227343233944907,"Nhà hẻm, ngõ",46.0,4.0,3.0,2.0,,,Sổ đỏ,6694958b-11fa-4e8e-819e-7973eb039174,97826086.95652173
"Xã Bình Mỹ, Huyện Củ Chi",21.821878125947855,Đất thổ cư,165.0,0.0,0.0,1.0,,,Sổ hồng,b4119c5b-a005-4664-a5e6-c2d8a9f97901,18181818.181818184
"Phường Tân Định, Quận 1",22.683360621134526,"Nhà hẻm, ngõ",40.0,4.0,3.0,3.0,,,Sổ hồng,59fa72a5-bb63-4387-8052-1a51b2e40f43,177500000.0
"Phường 10, Quận 6",23.264867830489695,Nhà mặt tiền,72.0,4.0,3.0,1.0,,,Sổ hồng,c9b7562a-ab72-4e6d-b32f-8de11c299724,176388888.8888889
"Phường Phú Hữu, TP. Thủ Đức - Quận 9",22.824957987683316,"Đất dự án, Khu dân cư",148.0,0.0,0.0,1.0,Nam,,Hợp đồng mua bán,03f54f7c-ad1d-4040-8bbf-131774914a52,55270270.27027027
"Phường 12, Quận 6",22.47246569192958,"Nhà hẻm, ngõ",64.0,4.0,3.0,1.0,,Nam,Sổ hồng,60131a59-d3ae-4cff-8c1e-ca29a6201c44,89843750.0
"Phường 10, Quận Phú Nhuận",23.020838388217417,"Nhà hẻm, ngõ",75.0,4.0,3.0,3.0,Nam,Nam,Sổ hồng,bb98428c-4563-41c8-996a-0ece341abd03,132666666.66666667
"Phường 10, Quận Phú Nhuận",22.850306357544717,"Nhà hẻm, ngõ",40.0,4.0,3.0,4.0,Đông Nam,Đông Nam,Sổ hồng,5988110c-6228-489c-b0ef-c0e7a250d0ef,209750000.00000003
"Phường Bình Trị Đông A, Quận Bình Tân",22.081674994833836,"Nhà hẻm, ngõ",48.0,4.0,3.0,1.0,,,Sổ hồng,7caeb8a5-4514-44bf-9f30-f60c1597f188,81041666.66666667
"Huyện Nhà Bè, TP.HCM",23.025850930040455,Nhà mặt tiền,80.0,4.0,3.0,1.0,,,Sổ hồng,b1cdfd97-a083-4730-a6d0-f7d0a64f4564,125000000.0
"Phường Thảo Điền, TP. Thủ Đức - Quận 2",24.000410569976324,"Nhà hẻm, ngõ",117.0,4.0,3.0,1.0,Tây,Tây,Sổ hồng,fb3e0ff8-5b43-43db-9b11-2fb4f2bc2f12,226495726.4957265
"Phường 8, Quận Phú Nhuận",23.767788274717454,Nhà mặt tiền,38.0,4.0,3.0,7.0,Tây Nam,Tây Nam,Sổ hồng,a4a9c974-d02c-45e8-a046-cb17dd641db8,552631578.9473684
"Phường 13, Quận Bình Thạnh",22.17018482011803,"Nhà hẻm, ngõ",36.0,4.0,3.0,1.0,Tây,Nam,Sổ hồng,45510ae6-4890-4bec-a792-3e4ef10ec400,118055555.55555555
"Phường Thạnh Lộc, Quận 12",22.86333200056033,"Nhà hẻm, ngõ",150.2,4.0,3.0,1.0,,,Sổ hồng,b58949d2-9aa3-428e-9d18-30dc122aa50f,56591211.71770973
"Phường 16, Quận Gò Vấp",22.86333200056033,"Nhà hẻm, ngõ",95.0,4.0,3.0,1.0,,,Sổ hồng,20858a9a-29d8-4d5e-9472-39368773c2d5,89473684.21052632
"Phường 13, Quận 10",24.1244632186419,Nhà mặt tiền,61.5,4.0,3.0,7.0,,,Sổ hồng,a4ed7870-0c0b-4aec-8253-147b89409eee,487804878.0487805
"Phường An Lạc A, Quận Bình Tân",23.942141661854613,Nhà mặt tiền,168.0,4.0,3.0,3.0,,,Sổ hồng,1afcbcab-9e91-4cab-b37c-4a9dfe591aa7,148809523.80952382
"Phường 15, Quận Tân Bình",22.28141045520349,"Nhà hẻm, ngõ",35.0,4.0,3.0,3.0,Tây Nam,Tây Nam,Sổ hồng,0fc7fb4c-85a5-4531-aac6-5a5179fb6d35,135714285.7142857
"Phường 16, Quận 8",22.920490414393743,Nhà mặt tiền,100.0,4.0,3.0,1.0,,,Giấy tờ hợp lệ,481bf34a-022c-41a7-aebf-bf60bd6be782,90000000.0
"Phường 9, Quận 10",23.767788274717454,Nhà mặt tiền,40.8,4.0,3.0,1.0,,,Sổ hồng,6e859da5-3f6c-42c3-9ce6-b6bc7e3e0b95,514705882.3529412
"Phường Nguyễn Cư Trinh, Quận 1",23.901319667336022,"Nhà hẻm, ngõ",100.0,4.0,3.0,5.0,Tây Nam,Tây Nam,Sổ hồng,439578c5-2748-43d7-8079-b55546f2b8af,240000000.0
"Phường 14, Quận 10",23.981362375006356,Nhà mặt tiền,120.0,4.0,3.0,5.0,,,Sổ hồng,74bf4f29-f9eb-47eb-9c71-8683c8c1bcf3,216666666.66666666
"Phường 10, Quận Phú Nhuận",23.020838388217417,"Nhà hẻm, ngõ",75.0,4.0,3.0,1.0,,,Sổ đỏ,e178a69b-1903-46e3-9847-a7c1b7b52bc2,132666666.66666667
"Phường 8, Quận Phú Nhuận",21.538630650673085,Nhà mặt tiền,14.0,4.0,3.0,2.0,,,Sổ hồng,d99f2dae-cd12-4224-8a50-2fc0f8c11035,161428571.42857143
"Phường Phú Thạnh, Quận Tân Phú",24.05547034715733,Nhà mặt tiền,256.0,4.0,3.0,1.0,,,Sổ hồng,f685fbba-bc9d-45b1-894c-053d487744a4,109375000.0
"Phường 10, Quận Tân Bình",22.86333200056033,"Nhà hẻm, ngõ",60.0,4.0,3.0,3.0,,,Sổ hồng,dc95a6a3-c965-4170-96c0-2882c83be2fc,141666666.66666666
"Phường Tân Quy, Quận 7",22.24932214065885,"Nhà hẻm, ngõ",40.0,4.0,3.0,5.0,Đông,,Sổ hồng,f1eae49b-b660-4eb3-8cee-f99c94735b08,115000000.0
"Phường 12, Quận Gò Vấp",22.59506801400185,"Nhà hẻm, ngõ",56.0,4.0,3.0,3.0,,,Sổ hồng,5ab2c413-b270-4cf8-bab7-9d332fe484ae,116071428.57142857
"Phường 3, Quận Phú Nhuận",22.751414084370275,"Nhà hẻm, ngõ",44.0,4.0,3.0,1.0,,,Sổ hồng,d1c81bbf-5d4c-403c-8f08-e301d670c69b,172727272.72727272
"Phường 11, Quận Tân Bình",23.55647918106145,Nhà mặt tiền,62.8,4.0,3.0,1.0,,,Sổ hồng,387c7494-ef28-48ec-a1b2-9368a314851d,270700636.9426752
"Xã Phú Xuân, Huyện Nhà Bè",20.863027780191135,"Nhà hẻm, ngõ",22.4,4.0,3.0,2.0,Đông Nam,,Sổ hồng,d829f972-b014-4d39-8958-ef5388a0ca0e,51339285.71428572
"Phường 13, Quận Tân Bình",23.880266258139077,Nhà mặt tiền,125.0,4.0,3.0,3.0,,,Sổ hồng,64eea108-c21d-4cc7-8275-9e3c4f6f7024,188000000.0
"Phường Tân Quý, Quận Tân Phú",23.208172486817745,Nhà mặt tiền,104.0,4.0,3.0,1.0,,,Sổ hồng,689a0f9b-654d-4112-8a4b-cc6b89e0e989,115384615.38461539
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",22.579563827468288,Nhà mặt tiền,68.0,4.0,3.0,2.0,,,Sổ hồng,2a1793b8-88f2-4ee7-9d6e-349ce80354b7,94117647.05882353
"Phường 5, Quận 10",22.86333200056033,"Nhà hẻm, ngõ",50.0,4.0,3.0,1.0,,,Sổ đỏ,b826ff20-a784-48e6-b335-ac1108d6964f,170000000.0
"Phường Thạnh Mỹ Lợi, TP. Thủ Đức - Quận 2",22.33270374958051,Nhà mặt tiền,90.0,4.0,3.0,1.0,,,Sổ hồng,7ef5d46a-8db7-4517-b05a-71504d4394a9,55555555.55555555
"Phường Thảo Điền, TP. Thủ Đức - Quận 2",24.05547034715733,Nhà mặt tiền,77.0,4.0,3.0,2.0,Bắc,,Sổ hồng,f47ed4d8-dfbf-4991-97b1-d77d0e9644db,363636363.6363636
"Phường 14, Quận Bình Thạnh",22.28141045520349,"Nhà hẻm, ngõ",29.7,4.0,3.0,2.0,,,Sổ hồng,e3496810-a690-48d4-a538-dad297398958,159932659.93265992
"Phường 9, Quận 8",21.659359196508902,"Nhà hẻm, ngõ",69.0,4.0,3.0,1.0,,,Sổ hồng,bf9ecd04-c954-42e1-98e4-757ab2084cf0,36956521.73913044
"Thị Trấn Nhà Bè, Huyện Nhà Bè",21.305481457357732,"Nhà hẻm, ngõ",25.6,4.0,3.0,1.0,,,Giấy tờ hợp lệ,d8c1e563-5254-48c0-8abf-b1a6debceb38,69921875.0
"Phường Tăng Nhơn Phú B, TP. Thủ Đức - Quận 9",22.515025306341133,"Nhà hẻm, ngõ",80.0,4.0,3.0,3.0,,,Sổ hồng,c0ee4094-92b8-4e1b-aab5-a5eaf9867953,75000000.0
"Phường 6, Quận 10",22.428013929366653,"Nhà hẻm, ngõ",35.0,4.0,3.0,1.0,Đông,,Sổ hồng,a04f4009-b8de-4db3-9e18-79070a9989f3,157142857.14285713
"Phường 5, Quận Phú Nhuận",23.148068562753203,Nhà mặt tiền,41.0,4.0,3.0,1.0,,,Sổ hồng,87575e2c-2143-447c-8f45-b8bf24c28b05,275609756.097561
"Phường Hiệp Thành, Quận 12",22.071338985505843,Đất thổ cư,96.0,0.0,0.0,1.0,,,Sổ hồng,16d562ce-a9a6-4113-94f9-25a38cd7f085,40104166.666666664
"Phường 5, Quận Phú Nhuận",22.227343233944907,"Nhà hẻm, ngõ",18.0,4.0,3.0,1.0,,,Sổ hồng,ef6b9a12-728c-4ba3-a1ce-d48048fdd3f8,250000000.0
"Phường Tân Quy, Quận 7",23.61363759489813,Nhà mặt tiền,80.0,4.0,3.0,1.0,,,Sổ hồng,3e7fd5f1-a0d8-4e6c-82d5-ba3c7c0f7afd,225000000.0
"Phường 7, Quận 5",23.00564822272498,"Nhà hẻm, ngõ",44.2,4.0,3.0,4.0,,,Sổ hồng,70648391-b53a-4f4c-a0a3-a890ac3c503e,221719457.01357466
"Phường 3, Quận 5",23.942141661854613,"Nhà hẻm, ngõ",104.0,4.0,3.0,1.0,,,Sổ hồng,a766e981-a930-4ca4-80ce-6288f65210be,240384615.3846154
"Thị Trấn Nhà Bè, Huyện Nhà Bè",21.883286754056645,"Nhà hẻm, ngõ",40.0,4.0,3.0,1.0,,,Giấy tờ hợp lệ,202f07fb-e5ba-4d15-a397-f118075adaba,79750000.0
"Phường 5, Quận Bình Thạnh",21.282881625453264,"Nhà hẻm, ngõ",53.6,4.0,3.0,2.0,,,Sổ hồng,04747cc8-5389-4cd1-bc85-e2f66855e514,32649253.731343284
"Phường 7, Quận Bình Thạnh",24.529928326738954,Nhà mặt tiền,140.0,4.0,3.0,5.0,,,Sổ hồng,5e04fd50-2edb-401e-b393-828e6111214e,321428571.4285714
"Xã Phước Vĩnh An, Huyện Củ Chi",22.802707378751247,Nhà mặt tiền,321.9,4.0,3.0,1.0,,,Sổ hồng,8bfbf459-a1bb-4a35-a3c5-a52e6faf9ec1,24852438.645542096
"Phường 12, Quận 10",24.107656100326082,Nhà mặt tiền,80.0,4.0,3.0,4.0,,,Sổ hồng,5096ebc9-087c-4672-a2b5-6342ebb28449,368750000.0
"Phường Tân Quý, Quận Tân Phú",22.515025306341133,"Nhà hẻm, ngõ",54.4,4.0,3.0,1.0,,,Sổ hồng,6cb06b58-5590-4706-9d79-b4c1ef2e1188,110294117.64705883
"Thị Trấn Nhà Bè, Huyện Nhà Bè",21.365119723645122,"Nhà hẻm, ngõ",19.5,4.0,3.0,1.0,,,Giấy tờ hợp lệ,6a18b78b-a6a9-40a0-8339-bc2a5f7a6562,97435897.43589744
"Phường 12, Quận Bình Thạnh",23.165612872402573,"Biệt thự, Villa",120.0,4.0,3.0,1.0,,,Sổ hồng,9fd97eda-935f-420f-a625-9243a5cc296a,95833333.33333333
"Phường 2, Quận Phú Nhuận",23.85876005291904,Nhà mặt tiền,64.0,4.0,3.0,4.0,,,Sổ đỏ,738a43fc-11d6-43da-91f6-1223ab8b57ae,359375000.0
"Phường 9, Quận Gò Vấp",22.72474583729167,"Nhà hẻm, ngõ",48.0,4.0,3.0,1.0,,,Sổ hồng,42fd5454-2036-45d7-87ca-309e7d65bce0,154166666.66666666
"Phường Tây Thạnh, Quận Tân Phú",22.515025306341133,"Nhà hẻm, ngõ",53.0,4.0,3.0,5.0,Tây,Tây,Sổ hồng,1be33b17-89ec-4aeb-81a1-93eeacd96d8b,113207547.16981132
"Phường 9, Quận Tân Bình",22.4811237546712,"Nhà hẻm, ngõ",41.0,4.0,3.0,4.0,Đông,Đông,Sổ hồng,248e9c01-688f-4610-bbd3-a73a5815b058,141463414.63414633
"Phường 13, Quận Bình Thạnh",23.767788274717454,Nhà mặt tiền,109.0,4.0,3.0,3.0,Tây Nam,,Sổ hồng,467d2d73-85fe-4c1f-bceb-fb3979496bc4,192660550.4587156
"Phường Hiệp Thành, Quận 12",22.717966150307213,Đất thổ cư,126.0,0.0,0.0,1.0,,,Sổ hồng,0f2e78fd-6c79-4f36-b83d-49a3afb155f4,58333333.333333336
"Phường Phú Thọ Hòa, Quận Tân Phú",24.18900173977739,Nhà mặt tiền,168.0,4.0,3.0,5.0,,,Sổ hồng,532b85f1-60d4-4a59-a477-d5838eb9a12b,190476190.47619048
"Phường 19, Quận Bình Thạnh",23.83678114620123,Nhà mặt tiền,56.0,4.0,3.0,4.0,Nam,Nam,Sổ hồng,1780cf35-ef7c-49f4-a713-7eb20281062f,401785714.28571427
"Thị Trấn Nhà Bè, Huyện Nhà Bè",21.4887336795511,"Nhà hẻm, ngõ",28.8,4.0,3.0,1.0,,,Giấy tờ hợp lệ,22e475f2-df8b-4292-a4b8-ba23bd137c52,74652777.77777778
"Phường Bình Trị Đông B, Quận Bình Tân",22.73816885762201,"Nhà hẻm, ngõ",68.0,4.0,3.0,1.0,,,Sổ hồng,d59e5c85-8493-44fa-b180-9572945ed094,110294117.64705883
"Phường 2, Quận 5",22.802707378751247,"Nhà hẻm, ngõ",62.0,4.0,3.0,1.0,,,Sổ hồng,8e5df434-9b9f-4eb5-9094-f102716b5614,129032258.06451613
"Phường Đa Kao, Quận 1",23.437894353474974,"Nhà hẻm, ngõ",118.5,4.0,3.0,3.0,,,Sổ đỏ,15c1c21c-dd62-4a28-8b07-98eb1bf5d0be,127417721.51898734
"Phường An Lạc, Quận Bình Tân",21.984563708174903,Đất thổ cư,63.0,0.0,0.0,1.0,,,Sổ hồng,47258409-a0d5-45db-90d1-e7e35fafab14,56031746.03174603
"Phường 2, Quận Phú Nhuận",22.390972657693165,Nhà mặt tiền,58.0,4.0,3.0,4.0,,,Sổ hồng,b7769f23-a1df-408f-8309-ecb7650a2156,91379310.34482759
"Xã Phước Kiển, Huyện Nhà Bè",21.030750537429665,"Nhà hẻm, ngõ",22.2,4.0,3.0,1.0,,,Sổ hồng,2e296df3-4d5a-4fed-9ed7-ea1b4090a83f,61261261.26126126
"Phường Bình Trị Đông B, Quận Bình Tân",22.66917598614458,"Nhà hẻm, ngõ",67.5,4.0,3.0,3.0,,,Sổ hồng,d9167281-0a9a-4153-950b-50ed41f12bf3,103703703.7037037
"Phường Thạnh Lộc, Quận 12",21.338451476577184,"Nhà hẻm, ngõ",48.0,4.0,3.0,1.0,Đông Nam,Đông Nam,Giấy tờ hợp lệ,3990c4e8-bd83-4890-aad1-e264c13f4c54,38541666.666666664
"Thị Trấn Nhà Bè, Huyện Nhà Bè",21.365119723645122,"Nhà hẻm, ngõ",24.0,4.0,3.0,1.0,,,Giấy tờ hợp lệ,b7ed26c4-be60-4c41-b2a9-066dfdeaca04,79166666.66666667
"Phường Bình Trị Đông A, Quận Bình Tân",23.165612872402573,Đất thổ cư,108.0,0.0,0.0,1.0,,,Sổ hồng,0120d0a6-df2b-4f83-b11c-201db4379eb5,106481481.48148148
"Phường 12, Quận Bình Thạnh",23.767788274717454,Nhà mặt tiền,255.0,4.0,3.0,1.0,,,Sổ hồng,11827ca8-0f29-4f72-8b03-8d5592c68324,82352941.1764706
"Phường Tân Chánh Hiệp, Quận 12",21.854667948760092,Đất thổ cư,80.0,0.0,0.0,1.0,Bắc,,Sổ hồng,38459162-580d-420d-a95d-805c12dd12c7,38750000.0
"Phường An Lạc, Quận Bình Tân",22.76448616593592,"Nhà hẻm, ngõ",84.0,4.0,3.0,6.0,,,Sổ hồng,432d1e93-e0d9-4654-a9a8-5cf071feebf3,91666666.66666667
"Phường 5, Quận Gò Vấp",23.32595552246487,"Nhà hẻm, ngõ",135.7,4.0,3.0,1.0,,,Sổ hồng,69a69079-f6f2-45f9-802a-40edfcb89209,99484156.22697127
"Phường Tân Chánh Hiệp, Quận 12",21.305481457357732,"Nhà hẻm, ngõ",25.0,4.0,3.0,1.0,,,Sổ hồng,077a29a0-ed16-43ed-bf2a-69b23f262773,71600000.0
"Phường 17, Quận Phú Nhuận",23.55647918106145,Nhà mặt tiền,43.0,4.0,3.0,1.0,,,Sổ hồng,1c860c9e-ec46-48cd-bd3f-aa69328f8e11,395348837.2093023
"Phường Sơn Kỳ, Quận Tân Phú",22.515025306341133,"Nhà hẻm, ngõ",55.0,4.0,3.0,2.0,Đông Nam,,Sổ hồng,1535b3dc-f2de-4b6b-b406-0aa0b5950609,109090909.0909091
"Phường 14, Quận Tân Bình",23.25696265098321,Nhà mặt tiền,56.0,4.0,3.0,1.0,,,Sổ hồng,ace535df-4596-4f12-86a5-c7579967c89b,225000000.0
"Phường Tân Thới Hòa, Quận Tân Phú",23.526626217913552,Nhà mặt tiền,87.4,4.0,3.0,3.0,Tây,,Sổ hồng,fe01bc58-b213-4435-b370-15362abf9ec9,188787185.35469106
"Phường 15, Quận Gò Vấp",22.56381547050263,Đất thổ cư,75.0,0.0,0.0,1.0,,,Sổ đỏ,66a93f17-714c-4376-ad0a-bcb50d930aaf,84000000.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",21.365119723645122,"Nhà hẻm, ngõ",21.0,4.0,3.0,1.0,,,Giấy tờ hợp lệ,c3bef723-8d1a-4370-baef-7193b7c27d30,90476190.47619048
"Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức",22.29188175506859,Đất thổ cư,156.0,0.0,0.0,1.0,,,Sổ hồng,3488fefa-691d-463d-901c-602c50ea8fab,30769230.769230768
"Phường Thạnh Lộc, Quận 12",23.208172486817745,Đất thổ cư,776.0,0.0,0.0,1.0,,,Sổ hồng,57ea86da-105c-4c5a-a66a-d7acad12f092,15463917.525773196
"Phường 3, Quận Bình Thạnh",21.90192083359575,Nhà mặt tiền,30.0,4.0,3.0,1.0,,,Sổ hồng,dd0adfd2-6e61-4056-8a6b-bb8fe797aa10,108333333.33333333
"Phường Tân Sơn Nhì, Quận Tân Phú",22.428013929366653,"Nhà hẻm, ngõ",56.0,4.0,3.0,1.0,,,Sổ hồng,556cbfdf-4be2-467e-b111-5167c37f656d,98214285.71428572
"Xã Quy Đức, Huyện Bình Chánh",22.802707378751247,Đất thổ cư,300.0,0.0,0.0,1.0,,,Sổ hồng,09b6e8a1-070a-4a78-90ab-de43cd7e6d1b,26666666.666666668
"Phường Bình Thuận, Quận 7",23.49585455924869,Nhà mặt tiền,100.0,4.0,3.0,1.0,,,Sổ hồng,b3eca85c-1246-438c-aab4-85137b542d65,160000000.0
"Phường 12, Quận Tân Bình",22.909317113796863,Nhà mặt tiền,63.0,4.0,3.0,1.0,,,Sổ hồng,30c747a3-cff7-400b-a31d-6387dc7549d6,141269841.26984128
"Thị Trấn Nhà Bè, Huyện Nhà Bè",22.24932214065885,"Nhà hẻm, ngõ",48.0,4.0,3.0,1.0,,,Giấy tờ hợp lệ,17593df2-ee98-4c89-b596-cead2aa73219,95833333.33333333
