Location,Price,Type of House,Land Area,Bedrooms,Toilets,Total Floors,Main Door Direction,Balcony Direction,Legal Documents,ID,Price_per_m2
"Phường Sơn Kỳ, Quận Tân Phú",23.49585455924869,"Nhà hẻm, ngõ",128.8,3.0,1.0,1.0,Nam,unknown,Sổ hồng,43bd939f-6ad0-4f7d-8041-fb078a36c017,124223602.48447204
"Phường 5, Quận Phú Nhuận",21.686440155101096,"Nhà hẻm, ngõ",15.0,2.0,3.0,3.0,Tây Nam,Tây Nam,Sổ hồng,4fc5925c-b852-4dba-bae3-156d581e30b7,174666666.66666666
"Phường 15, Quận Tân Bình",22.227343233944907,"Nhà hẻm, ngõ",46.0,2.0,2.0,2.0,unknown,unknown,Sổ đỏ,ac8c32db-0daf-4f20-8d3d-ebef147cbfe0,97826086.95652173
"Xã Bình Mỹ, Huyện Củ Chi",21.821878125947855,Đất thổ cư,165.0,0.0,0.0,1.0,unknown,unknown,Sổ hồng,4b9a34e3-4442-4ae9-87b0-879b11674bcc,18181818.181818184
"Phường Tân Định, Quận 1",22.683360621134526,"Nhà hẻm, ngõ",40.0,3.0,4.0,3.0,unknown,unknown,Sổ hồng,1ed632b1-4ae9-4232-ac6c-172ce5cec0db,177500000.0
"Phường 10, Quận 6",23.264867830489695,Nhà mặt tiền,72.0,5.0,6.0,1.0,unknown,unknown,Sổ hồng,7a6b5c5b-2b07-42fd-a5ed-8c5a4bc5ce29,176388888.8888889
"Phường Phú Hữu, TP. Thủ Đức - Quận 9",22.824957987683316,"Đất dự án, Khu dân cư",148.0,0.0,0.0,1.0,Nam,unknown,Hợp đồng mua bán,05edded4-8a58-4a0b-bc54-7de98e9bb487,55270270.27027027
"Phường 12, Quận 6",22.47246569192958,"Nhà hẻm, ngõ",64.0,4.0,2.0,1.0,unknown,Nam,Sổ hồng,d73770ca-e52d-4575-8d3f-2d51a9ccfc9c,89843750.0
"Phường 10, Quận Phú Nhuận",23.020838388217417,"Nhà hẻm, ngõ",75.0,3.0,4.0,3.0,Nam,Nam,Sổ hồng,bea2d8cf-e3c6-414a-843d-335c3d5ec38e,132666666.66666667
"Phường 10, Quận Phú Nhuận",22.850306357544717,"Nhà hẻm, ngõ",40.0,3.0,4.0,4.0,Đông Nam,Đông Nam,Sổ hồng,6131717d-660b-4bd7-bcd8-46ff1a4ac508,209750000.00000003
"Phường Bình Trị Đông A, Quận Bình Tân",22.081674994833836,"Nhà hẻm, ngõ",48.0,2.0,2.0,1.0,unknown,unknown,Sổ hồng,9c147ff3-2e15-486d-b3ca-3df8cb0c688b,81041666.66666667
"Huyện Nhà Bè, TP.HCM",23.025850930040455,Nhà mặt tiền,80.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,072addd2-4751-4bc9-b521-674a3d108b03,125000000.0
"Phường 8, Quận Phú Nhuận",23.767788274717454,Nhà mặt tiền,38.0,6.0,7.0,7.0,Tây Nam,Tây Nam,Sổ hồng,ac180b59-80ed-4694-9e11-efbfba93d897,552631578.9473684
"Phường 13, Quận Bình Thạnh",22.17018482011803,"Nhà hẻm, ngõ",36.0,5.0,3.0,1.0,Tây,Nam,Sổ hồng,641420c9-7633-436e-9b23-1961b5e2d576,118055555.55555555
"Phường Thạnh Lộc, Quận 12",22.86333200056033,"Nhà hẻm, ngõ",150.2,3.0,2.0,1.0,unknown,unknown,Sổ hồng,4bca094b-e8a6-4287-9ac4-a9ab7c31b406,56591211.71770973
"Phường 16, Quận Gò Vấp",22.86333200056033,"Nhà hẻm, ngõ",95.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,ce2615f0-4d33-4b00-a069-fe32f89eefc0,89473684.21052632
"Phường 12, Quận Tân Bình",24.80080328086908,Nhà mặt tiền,170.0,2.0,3.0,3.0,Đông,Đông,Sổ hồng,e3a16891-c51b-4358-9760-5eca266a6fd0,347058823.5294118
"Phường 13, Quận 10",24.1244632186419,Nhà mặt tiền,61.5,3.0,2.0,7.0,unknown,unknown,Sổ hồng,0a22fd01-2119-486c-89f8-b7e88c704156,487804878.0487805
"Phường An Lạc A, Quận Bình Tân",23.942141661854613,Nhà mặt tiền,168.0,3.0,2.0,3.0,unknown,unknown,Sổ hồng,35e6ba7a-6ec5-49d9-a4ec-a5b69233145f,148809523.80952382
"Phường 15, Quận Tân Bình",22.28141045520349,"Nhà hẻm, ngõ",35.0,3.0,2.0,3.0,Tây Nam,Tây Nam,Sổ hồng,782e928c-d184-4f89-85f3-3d527e541e38,135714285.7142857
"Phường 16, Quận 8",22.920490414393743,Nhà mặt tiền,100.0,3.0,2.0,1.0,unknown,unknown,Giấy tờ hợp lệ,49c24097-a763-4539-8d58-520a9196e88f,90000000.0
"Phường 9, Quận 10",23.767788274717454,Nhà mặt tiền,40.8,3.0,2.0,1.0,unknown,unknown,Sổ hồng,51d40509-1cd2-4a0c-be3f-648806f1f9b7,514705882.3529412
"Phường Nguyễn Cư Trinh, Quận 1",23.901319667336022,"Nhà hẻm, ngõ",100.0,6.0,7.0,5.0,Tây Nam,Tây Nam,Sổ hồng,835e2f57-8121-4e3a-952a-bffc82483977,240000000.0
"Phường 14, Quận 10",23.981362375006356,Nhà mặt tiền,120.0,3.0,2.0,5.0,unknown,unknown,Sổ hồng,84cad54f-a466-4471-896a-0f0c21233619,216666666.66666666
"Phường 8, Quận Phú Nhuận",21.538630650673085,Nhà mặt tiền,14.0,1.0,1.0,2.0,unknown,unknown,Sổ hồng,db483e9f-95d2-4800-9a92-3b35e84573a8,161428571.42857143
"Phường Phú Thạnh, Quận Tân Phú",24.05547034715733,Nhà mặt tiền,256.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,18a303a1-8b89-44bc-ae57-dd853b4116f8,109375000.0
"Phường 10, Quận Tân Bình",22.86333200056033,"Nhà hẻm, ngõ",60.0,4.0,4.0,3.0,unknown,unknown,Sổ hồng,6fbabe6c-0db8-4c4e-b447-a5de6f2e0e34,141666666.66666666
"Phường Tân Quy, Quận 7",22.24932214065885,"Nhà hẻm, ngõ",40.0,5.0,6.0,5.0,Đông,unknown,Sổ hồng,343b3132-2b89-4812-9cd6-3dac249f9cef,115000000.0
"Phường 12, Quận Gò Vấp",22.59506801400185,"Nhà hẻm, ngõ",56.0,3.0,5.0,3.0,unknown,unknown,Sổ hồng,d9c2162b-403e-4ccc-a8f8-65ac7822c5c8,116071428.57142857
"Phường 3, Quận Phú Nhuận",22.751414084370275,"Nhà hẻm, ngõ",44.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,af1c7430-f907-481b-a523-0bce86d5aabd,172727272.72727272
"Phường 11, Quận Tân Bình",23.55647918106145,Nhà mặt tiền,62.8,3.0,2.0,1.0,unknown,unknown,Sổ hồng,8c9bb7a6-9ff7-4087-9a25-595c0881c233,270700636.9426752
"Xã Phú Xuân, Huyện Nhà Bè",20.863027780191135,"Nhà hẻm, ngõ",22.4,3.0,2.0,2.0,Đông Nam,unknown,Sổ hồng,18a4e938-6af3-47a9-b581-67bae289c999,51339285.71428572
"Phường 13, Quận Tân Bình",23.880266258139077,Nhà mặt tiền,125.0,10.0,5.0,3.0,unknown,unknown,Sổ hồng,db5135b2-0755-4ea7-b495-167ff0b201b3,188000000.0
"Phường Tân Quý, Quận Tân Phú",23.208172486817745,Nhà mặt tiền,104.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,9e997657-ca85-46cb-8e2e-ec22e31e6fdb,115384615.38461539
"Phường 5, Quận 10",22.86333200056033,"Nhà hẻm, ngõ",50.0,2.0,2.0,1.0,unknown,unknown,Sổ đỏ,7f233246-eda2-4502-b142-4ba4ffeaf184,170000000.0
"Phường Thạnh Mỹ Lợi, TP. Thủ Đức - Quận 2",22.33270374958051,Nhà mặt tiền,90.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,a9e8869f-e803-4092-a06b-86d95712fa51,55555555.55555555
"Phường Thảo Điền, TP. Thủ Đức - Quận 2",24.05547034715733,Nhà mặt tiền,77.0,4.0,3.0,2.0,Bắc,unknown,Sổ hồng,041bf5a1-b089-4b58-be7d-a2fd4c2ad559,363636363.6363636
"Phường 14, Quận Bình Thạnh",22.28141045520349,"Nhà hẻm, ngõ",29.7,3.0,2.0,2.0,unknown,unknown,Sổ hồng,2a142758-4b31-476f-956e-fef01260a3cf,159932659.93265992
"Phường 9, Quận 8",21.659359196508902,"Nhà hẻm, ngõ",69.0,1.0,2.0,1.0,unknown,unknown,Sổ hồng,25b75b82-3eb0-4ffe-a19a-982271a4bf0e,36956521.73913044
"Thị Trấn Nhà Bè, Huyện Nhà Bè",21.305481457357732,"Nhà hẻm, ngõ",25.6,4.0,3.0,1.0,unknown,unknown,Giấy tờ hợp lệ,b3aa7a37-81ed-4d35-9ec3-bba6f287bf89,69921875.0
"Phường Tăng Nhơn Phú B, TP. Thủ Đức - Quận 9",22.515025306341133,"Nhà hẻm, ngõ",80.0,4.0,5.0,3.0,unknown,unknown,Sổ hồng,c4205a4d-65e3-4133-b08c-bb9e303155b1,75000000.0
"Phường 6, Quận 10",22.428013929366653,"Nhà hẻm, ngõ",35.0,4.0,3.0,1.0,Đông,unknown,Sổ hồng,1d3aa3f6-20e1-45d4-8f58-87e05f01bf5c,157142857.14285713
"Phường Hiệp Thành, Quận 12",22.071338985505843,Đất thổ cư,96.0,0.0,0.0,1.0,unknown,unknown,Sổ hồng,94652b43-71a6-442e-b8af-f36669a71df0,40104166.666666664
"Phường 5, Quận Phú Nhuận",22.227343233944907,"Nhà hẻm, ngõ",18.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,557a991b-f13a-4903-8425-464cfe6176b3,250000000.0
"Phường Tân Quy, Quận 7",23.61363759489813,Nhà mặt tiền,80.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,825bef55-9275-4a7f-ac99-264686567082,225000000.0
"Phường 7, Quận 5",23.00564822272498,"Nhà hẻm, ngõ",44.2,3.0,2.0,4.0,unknown,unknown,Sổ hồng,fecebf72-7b8d-46cc-8b5a-43be187fdbfb,221719457.01357466
"Phường 3, Quận 5",23.942141661854613,"Nhà hẻm, ngõ",104.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,157c85a7-b127-49c6-b96a-0d34a471930b,240384615.3846154
"Thị Trấn Nhà Bè, Huyện Nhà Bè",21.883286754056645,"Nhà hẻm, ngõ",40.0,3.0,2.0,1.0,unknown,unknown,Giấy tờ hợp lệ,da88553e-cd1e-4b44-9a0d-028bf1c97244,79750000.0
"Phường 5, Quận Bình Thạnh",21.282881625453264,"Nhà hẻm, ngõ",53.6,3.0,3.0,2.0,unknown,unknown,Sổ hồng,1ddbb17a-db87-4aa9-86f8-87e63bb71cdd,32649253.731343284
"Phường 7, Quận Bình Thạnh",24.529928326738954,Nhà mặt tiền,140.0,3.0,2.0,5.0,unknown,unknown,Sổ hồng,6dba63b4-daf3-41d3-a728-ad506af99fb4,321428571.4285714
"Xã Phước Vĩnh An, Huyện Củ Chi",22.802707378751247,Nhà mặt tiền,321.9,3.0,2.0,1.0,unknown,unknown,Sổ hồng,03690a91-06fe-4bcc-9d51-2e50b35e7a24,24852438.645542096
"Phường 12, Quận 10",24.107656100326082,Nhà mặt tiền,80.0,3.0,2.0,4.0,unknown,unknown,Sổ hồng,89c1aef0-ce6b-47b2-99b3-851b1d6363b1,368750000.0
"Phường Tân Quý, Quận Tân Phú",22.515025306341133,"Nhà hẻm, ngõ",54.4,3.0,2.0,1.0,unknown,unknown,Sổ hồng,abe7f246-b6f3-4bf4-919b-7dc8d681e784,110294117.64705883
"Thị Trấn Nhà Bè, Huyện Nhà Bè",21.365119723645122,"Nhà hẻm, ngõ",19.5,2.0,3.0,1.0,unknown,unknown,Giấy tờ hợp lệ,06277f60-4606-40b2-8aa1-cc79663310cd,97435897.43589744
"Phường 12, Quận Bình Thạnh",23.165612872402573,"Biệt thự, Villa",120.0,4.0,3.0,1.0,unknown,unknown,Sổ hồng,9e68fa71-6d4b-4e55-b3ea-fc3b8edb73a5,95833333.33333333
"Phường 2, Quận Phú Nhuận",23.85876005291904,Nhà mặt tiền,64.0,5.0,6.0,4.0,unknown,unknown,Sổ đỏ,e21289ec-1184-4c2c-97c5-b1a7dcf1fb91,359375000.0
"Phường 9, Quận Gò Vấp",22.72474583729167,"Nhà hẻm, ngõ",48.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,165c9bad-31c2-4ec9-b442-3b1b4d3a55ec,154166666.66666666
"Phường Tây Thạnh, Quận Tân Phú",22.515025306341133,"Nhà hẻm, ngõ",53.0,5.0,5.0,5.0,Tây,Tây,Sổ hồng,76e1a586-8253-4723-8223-03396933ae11,113207547.16981132
"Phường 9, Quận Tân Bình",22.4811237546712,"Nhà hẻm, ngõ",41.0,4.0,3.0,4.0,Đông,Đông,Sổ hồng,d3fd3812-60ce-44c3-a77e-069c3edb07de,141463414.63414633
"Phường 13, Quận Bình Thạnh",23.767788274717454,Nhà mặt tiền,109.0,3.0,4.0,3.0,Tây Nam,unknown,Sổ hồng,5faf2852-04e3-40b8-9487-e30f2d259aa3,192660550.4587156
"Phường Phú Thọ Hòa, Quận Tân Phú",24.18900173977739,Nhà mặt tiền,168.0,3.0,2.0,5.0,unknown,unknown,Sổ hồng,ad6b9301-a1a6-400f-acb8-9d89c6007c9d,190476190.47619048
"Phường 19, Quận Bình Thạnh",23.83678114620123,Nhà mặt tiền,56.0,5.0,4.0,4.0,Nam,Nam,Sổ hồng,426e635e-1ff4-49c0-9396-e6f7a07cd618,401785714.28571427
"Thị Trấn Nhà Bè, Huyện Nhà Bè",21.4887336795511,"Nhà hẻm, ngõ",28.8,3.0,2.0,1.0,unknown,unknown,Giấy tờ hợp lệ,5570bac4-596b-4d8b-9630-f0ac124bed76,74652777.77777778
"Phường 2, Quận 5",22.802707378751247,"Nhà hẻm, ngõ",62.0,3.0,3.0,1.0,unknown,unknown,Sổ hồng,14338cfa-dc71-4897-82eb-dcc7b0fd14be,129032258.06451613
"Phường An Lạc, Quận Bình Tân",21.984563708174903,Đất thổ cư,63.0,0.0,0.0,1.0,unknown,unknown,Sổ hồng,511474e0-ce7d-4102-9e93-e1f7a71edfb6,56031746.03174603
"Xã Phước Kiển, Huyện Nhà Bè",21.030750537429665,"Nhà hẻm, ngõ",22.2,2.0,1.0,1.0,unknown,unknown,Sổ hồng,83e216c5-4578-4843-8f23-88191d9a9f7f,61261261.26126126
"Phường Bình Trị Đông B, Quận Bình Tân",22.66917598614458,"Nhà hẻm, ngõ",67.5,3.0,2.0,3.0,unknown,unknown,Sổ hồng,a024c5a3-4916-4e34-a98a-6cf88d078e6f,103703703.7037037
"Phường Thạnh Lộc, Quận 12",21.338451476577184,"Nhà hẻm, ngõ",48.0,3.0,2.0,1.0,Đông Nam,Đông Nam,Giấy tờ hợp lệ,fe6d6283-b33b-45f9-9ee3-bbbd596cd357,38541666.666666664
"Thị Trấn Nhà Bè, Huyện Nhà Bè",21.365119723645122,"Nhà hẻm, ngõ",24.0,2.0,2.0,1.0,unknown,unknown,Giấy tờ hợp lệ,09dac1cd-a14d-4a2d-a3ed-bfc41f1c4880,79166666.66666667
"Phường Bình Trị Đông A, Quận Bình Tân",23.165612872402573,Đất thổ cư,108.0,0.0,0.0,1.0,unknown,unknown,Sổ hồng,a9fdc60d-719a-4efa-b892-f17ef55672e9,106481481.48148148
"Phường 12, Quận Bình Thạnh",23.767788274717454,Nhà mặt tiền,255.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,37373c88-ea8d-4adb-83f0-7cc3a29e3aab,82352941.1764706
"Phường Tân Chánh Hiệp, Quận 12",21.854667948760092,Đất thổ cư,80.0,0.0,0.0,1.0,Bắc,unknown,Sổ hồng,1ede30fa-6087-4d04-b749-c7b0708de072,38750000.0
"Phường An Lạc, Quận Bình Tân",22.76448616593592,"Nhà hẻm, ngõ",84.0,3.0,2.0,6.0,unknown,unknown,Sổ hồng,90149ff3-49fd-4420-8c8c-68d9aa17d824,91666666.66666667
"Phường 5, Quận Gò Vấp",23.32595552246487,"Nhà hẻm, ngõ",135.7,3.0,2.0,1.0,unknown,unknown,Sổ hồng,382c1533-54bb-4f6c-8ef3-0bf369a2be22,99484156.22697127
"Phường Tân Chánh Hiệp, Quận 12",21.305481457357732,"Nhà hẻm, ngõ",25.0,2.0,2.0,1.0,unknown,unknown,Sổ hồng,67d6bb12-1650-469d-a573-a8930e2b6d3d,71600000.0
"Phường 17, Quận Phú Nhuận",23.55647918106145,Nhà mặt tiền,43.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,071c7adc-f839-4105-9a92-a39dad258ec9,395348837.2093023
"Phường Sơn Kỳ, Quận Tân Phú",22.515025306341133,"Nhà hẻm, ngõ",55.0,3.0,2.0,2.0,Đông Nam,unknown,Sổ hồng,3997dd0c-7994-4c7a-8690-5cc2632c39fa,109090909.0909091
"Phường 14, Quận Tân Bình",23.25696265098321,Nhà mặt tiền,56.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,dfcc1035-9f63-4e65-a9a3-4cfefd047c94,225000000.0
"Phường Tân Thới Hòa, Quận Tân Phú",23.526626217913552,Nhà mặt tiền,87.4,4.0,5.0,3.0,Tây,unknown,Sổ hồng,0239d15a-6ce3-4974-a950-ce54837c5ad8,188787185.35469106
"Phường 15, Quận Gò Vấp",22.56381547050263,Đất thổ cư,75.0,0.0,0.0,1.0,unknown,unknown,Sổ đỏ,e87ff0e9-e2bb-4c5a-99b3-773903e89455,84000000.0
"Thị Trấn Nhà Bè, Huyện Nhà Bè",21.365119723645122,"Nhà hẻm, ngõ",21.0,4.0,2.0,1.0,unknown,unknown,Giấy tờ hợp lệ,157ad70f-43b9-453d-abf1-4a838ab24ea9,90476190.47619048
"Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức",22.29188175506859,Đất thổ cư,156.0,0.0,0.0,1.0,unknown,unknown,Sổ hồng,065ed289-06ef-47db-a301-64a530df557a,30769230.769230768
"Phường Thạnh Lộc, Quận 12",23.208172486817745,Đất thổ cư,776.0,0.0,0.0,1.0,unknown,unknown,Sổ hồng,8d4a7ca5-24be-47b9-80e2-03a59eb67982,15463917.525773196
"Phường 3, Quận Bình Thạnh",21.90192083359575,Nhà mặt tiền,30.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,161e7e0c-4d9c-4bc5-ae6f-603dafa0961c,108333333.33333333
"Phường Tân Sơn Nhì, Quận Tân Phú",22.428013929366653,"Nhà hẻm, ngõ",56.0,2.0,2.0,1.0,unknown,unknown,Sổ hồng,cba3ea8d-b2da-4647-98e2-9a53c170ebb5,98214285.71428572
"Xã Quy Đức, Huyện Bình Chánh",22.802707378751247,Đất thổ cư,300.0,0.0,0.0,1.0,unknown,unknown,Sổ hồng,3362b8f8-4555-41b7-992a-95703ccf19ff,26666666.666666668
"Phường Bình Thuận, Quận 7",23.49585455924869,Nhà mặt tiền,100.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,e6d329c6-eb9f-46aa-945b-01a22570d6d9,160000000.0
"Phường 12, Quận Tân Bình",22.909317113796863,Nhà mặt tiền,63.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,11dc163a-c36f-41af-81bc-62ad12de5c68,141269841.26984128
"Phường Cô Giang, Quận 1",21.976028805727495,"Nhà hẻm, ngõ",25.1,2.0,3.0,3.0,unknown,unknown,Sổ hồng,6b42c33b-8204-4045-85b6-682eb393bf92,139442231.0756972
"Phường Thới An, Quận 12",22.920490414393743,Nhà mặt tiền,92.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,c426e97a-5ec7-46b2-a419-83fe320b3ed8,97826086.95652173
"Xã Xuân Thới Sơn, Huyện Hóc Môn",22.227343233944907,Nhà mặt tiền,137.0,3.0,2.0,1.0,unknown,unknown,Sổ hồng,ea6a3e50-b7d8-4ba2-a9bc-8d77f672dee9,32846715.328467153
"Phường 16, Quận 8",22.66917598614458,Nhà mặt tiền,52.0,5.0,5.0,5.0,unknown,unknown,Sổ hồng,f4c6b5a6-1945-43b1-8ddf-6be50ef0a5d2,134615384.6153846
"Thị Trấn Nhà Bè, Huyện Nhà Bè",21.870668290101413,"Nhà hẻm, ngõ",36.0,4.0,3.0,1.0,unknown,unknown,Sổ hồng,94c8f2b8-7231-47f0-a4a0-fcf59b877ee4,87500000.0
"Xã Tân Thạnh Tây, Huyện Củ Chi",22.216169933349278,Đất thổ cư,200.0,0.0,0.0,1.0,unknown,unknown,Sổ đỏ,737802d9-386b-4568-bfcb-7066f5e723ad,22250000.0
"Phường 7, Quận Phú Nhuận",22.875028040322153,"Nhà hẻm, ngõ",68.0,4.0,5.0,4.0,unknown,unknown,Sổ hồng,2e9e131c-ec26-446d-96c1-42d3c8242b41,126470588.23529412
